Method,Direction,k,mean,std
CycleGAN (Baseline),MA_to_RS,10,0.010526315789473679,0.023537557657892515
CycleGAN (Baseline),MA_to_RS,50,0.00820576903051128,0.013433988230658401
CycleGAN (Baseline),MA_to_RS,100,0.014469512935665679,0.01872706962627742
CycleGAN (Baseline),MA_to_RS,200,0.019112400927549938,0.01843199850809394
CycleGAN (Baseline),MA_to_RS,500,0.042879489758319685,0.027103808263896387
CycleGAN (Baseline),MA_to_RS,1000,0.06573893899853263,0.03217732348572991
CycleGAN (Baseline),RS_to_MA,10,0.0,0.0
CycleGAN (Baseline),RS_to_MA,50,0.00408163265306122,0.009126808071427702
CycleGAN (Baseline),RS_to_MA,100,0.01029957128955048,0.01594498889179022
CycleGAN (Baseline),RS_to_MA,200,0.01393942016165732,0.018075954497454614
CycleGAN (Baseline),RS_to_MA,500,0.039645020857110844,0.02163494339120147
CycleGAN (Baseline),RS_to_MA,1000,0.0646430047428051,0.018138610747848463
GANomics (Proposed),MA_to_RS,10,0.010526315789473679,0.023537557657892512
GANomics (Proposed),MA_to_RS,50,0.0479825103885254,0.0519339353642439
GANomics (Proposed),MA_to_RS,100,0.07504006001018064,0.035597661573668865
GANomics (Proposed),MA_to_RS,200,0.11368063817759148,0.0317410302327778
GANomics (Proposed),MA_to_RS,500,0.2193914940619232,0.045858326767023116
GANomics (Proposed),MA_to_RS,1000,0.32452275252070284,0.04276625391437412
GANomics (Proposed),RS_to_MA,10,0.010526315789473679,0.023537557657892515
GANomics (Proposed),RS_to_MA,50,0.07322975481113654,0.019029225335626978
GANomics (Proposed),RS_to_MA,100,0.11142886207253462,0.021085333577956784
GANomics (Proposed),RS_to_MA,200,0.17886902136234734,0.038573916288405986
GANomics (Proposed),RS_to_MA,500,0.29396735662249107,0.03968209408752186
GANomics (Proposed),RS_to_MA,1000,0.39725976066842705,0.04176547188061367
